SchoolCode,SchoolName_x,total_cs_courses,yearly_enrolled_in_cs,school_teaches_cs,LEACode,LEAName,SchoolName_y,LowestGrade,HighestGrade,PrincipalName,Email,Phone,OrgCategoryList,GradeCategory,City,SchoolName,STREET,STATE,ZIP,NMCNTY,LAT,LON,NMCBSA,NMCSA
1519,Edmonds Elearning Academy,1,1,Teaches Computer Science,31015,Edmonds School District,Edmonds Elearning Academy,9,12,Katie  Bjornstad,bjornstadk@edmonds.wednet.edu,425.431.1528," Alternative School, Public School",High School,Lynnwood,Edmonds Elearning Academy,7501 208th St SW,WA,98036,Snohomish County,47.81087,-122.334701,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
1547,Middle College High School,4,58,Teaches Computer Science,17001,Seattle Public Schools,Middle College High School,9,12,Elizabeth  Mcfarland,emmcfarland@seattleschools.org,206.252.9905," Public School, Regular School",High School,Seattle,Middle College High School,401 NE Northgate Way,WA,98125,King County,47.70624,-122.326041,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
1627,Yelm Extension School,2,3,Teaches Computer Science,34002,Yelm School District,Yelm Extension School,9,12,Ryan  Akiyama,ryan_akiyama@ycs.wednet.edu,360.458.7777," Alternative School, Public School",High School,Yelm,Yelm Extension School,107 First St. N,WA,98597,Thurston County,46.942475,-122.606032,"Olympia-Tumwater, WA","Seattle-Tacoma, WA"
1628,Dishman Hills High School,6,158,Teaches Computer Science,32363,West Valley School District (Spokane),Dishman Hills High School,9,12,Lauren  House,lauren.house@wvsd.org,509.927.1100," Alternative School, Public School",High School,Spokane,Dishman Hills High School,115 S University,WA,99206,Spokane County,47.655466,-117.247302,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
1640,Puyallup Online Academy/Poa,2,6,Teaches Computer Science,27003,Puyallup School District,Puyallup Online Academy/Poa,K ,12,Adriana  Julian,juliaac@puyallup.k12.wa.us,253.841.8630," Alternative School, Public School",K-12,Puyallup,,,,,,,,,
1657,Heritage School,4,54,Teaches Computer Science,31025,Marysville School District,Heritage School,9,12,Kelli  Miller,kelli_miller@msd25.org,360.965.2800," Public School, Regular School",High School,Marysville,Heritage School,7204 27th Ave NE,WA,98271,Snohomish County,48.061912,-122.194909,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
1680,James A. Taylor High School,2,2,Teaches Computer Science,23403,North Mason School District,James A. Taylor High School,9,12,Anne  Crosby,acrosby@northmasonschools.org,360.277.2393," Alternative School, Public School",High School,Belfair,James A. Taylor High School,90 E North Mason School Road,WA,98528,Mason County,47.41641,-122.843941,"Shelton, WA","Seattle-Tacoma, WA"
1688,Emerson K-12,4,4,Teaches Computer Science,17414,Lake Washington School District,Emerson K-12,K ,12,Nell  Ballard-Jones,nballard-jones@lwsd.org,425.936.2311," Alternative School, Public School",K-12,Kirkland,Emerson K-12,10903 NE 53rd Street,WA,98033,King County,47.655301,-122.195589,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
1718,Explorer Academy,6,15,Teaches Computer Science,18402,South Kitsap School District,Explorer Academy,K ,12,Pat  Oster,oster@skschools.org,360.443.3605," Alternative School, Public School",K-12,Port Orchard,Explorer Academy,2689 HOOVER AVE SE,WA,98366,Kitsap County,47.52367,-122.626391,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
1854,Parade,1,4,Teaches Computer Science,17407,Riverview School District,Parade,PK,12,John  Bomar,bomarj@rsd407.org,425.844.4960," Alternative School, Public School",PK-12,Carnation,Parade,32302 NE 50th St,WA,98014,King County,47.65234,-121.907981,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
1875,Homelink River,7,22,Teaches Computer Science,6119,Battle Ground School District,Homelink River,K ,12,Mark  Clements,clements.mark@battlegroundps.org,360.334.8205," Alternative School, Public School",K-12,Battle Ground,Homelink River,610-C SW EATON BLVD.,WA,98604,Clark County,45.595138,-122.407381,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
1892,Oasis K-12,1,1,Teaches Computer Science,28137,Orcas Island School District,Oasis K-12,K ,12,Becky  Bell,bbell@orcas.k12.wa.us,360.376.2284," Alternative School, Public School",K-12,Eastsound,Oasis K-12,557 SCHOOL RD,WA,98245,San Juan County,48.698988,-122.903569,N,N
1919,Independent Scholar,1,1,Teaches Computer Science,32416,Riverside School District,Independent Scholar,K ,12,Kristy  Misiaszek,kristy.misiaszek@rsdmail.org,509.464.8478," Alternative School, Public School",K-12,Chattaroy,Independent Scholar,34515 N. Newport Highway,WA,99003,Spokane County,47.968825,-117.350248,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
1927,Marysville Mountain View Arts And Technology High School,4,90,Teaches Computer Science,31025,Marysville School District,Legacy High School,9,12,Raymond  Houser,raymond_houser@msd25.org,360.965.3000," Public School, Regular School",High School,Marysville,,,,,,,,,
1938,Student Link,1,1,Teaches Computer Science,17402,Vashon Island School District,Student Link,9,12,Danny  Rock,drock@vashonsd.org,206.463.9171," Alternative School, Public School",High School,Vashon,Student Link,9600 SW 204th St,WA,98070,King County,47.4226,-122.457281,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
1971,Sage Hills High School,1,3,Teaches Computer Science,13165,Ephrata School District,Sage Hills High School,8,12,Frank  Cardwell,fcardwell@ephrataschools.org,509.754.7547," Alternative School, Public School",High School,Ephrata,Sage Hills High School,35 K ST SE,WA,98823,Grant County,47.318047,-119.537024,"Moses Lake, WA","Moses Lake-Othello, WA"
1992,Skagit Academy,1,4,Teaches Computer Science,29320,Mount Vernon School District,Skagit Academy,K ,12,Chris  Jorgensen,cjorgensen@mvsd320.org,360.428.6206," Alternative School, Public School",K-12,Mount Vernon,,,,,,,,,
2031,Omak High School,2,37,Teaches Computer Science,24019,Omak School District,Omak High School,9,12,Guin  Joyce,gjoyce@omaksd.org,509.826.7697," Public School, Regular School",High School,Omak,Omak High School,20 SOUTH CEDAR,WA,98841,Okanogan County,48.409678,-119.534038,N,N
2084,Stadium,6,114,Teaches Computer Science,27010,Tacoma School District,Stadium,9,12,Kevin  Ikeda,kikeda@tacoma.k12.wa.us,253.571.3100," Public School, Regular School",High School,Tacoma,Stadium,111 N E St,WA,98403,Pierce County,47.266371,-122.448315,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2125,Puyallup High School,4,106,Teaches Computer Science,27003,Puyallup School District,Puyallup High School,10,12,Dave  Sunich,sunichdm@puyallup.k12.wa.us,253.604.3709," Public School, Regular School",High School,Puyallup,Puyallup High School,105 Seventh St SW,WA,98371,Pierce County,47.191197,-122.301877,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2126,Everett High School,8,298,Teaches Computer Science,31002,Everett School District,Everett High School,9,12,Lance  Balla,lballa@everettsd.org,425.385.4400," Public School, Regular School",High School,Everett,Everett High School,2416 Colby Ave.,WA,98201,Snohomish County,47.985232,-122.20917,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2132,Ritzville High School,2,2,Teaches Computer Science,1160,Ritzville School District,Ritzville High School,9,12,Ronanda   Liberty,rliberty@lrschools.org,509.659.1720," Public School, Regular School",High School,Ritzville,Ritzville High School,209 E Wellsandt Avenue,WA,99169,Adams County,47.126001,-118.370087,"Othello, WA","Moses Lake-Othello, WA"
2134,Wenatchee High School,2,2,Teaches Computer Science,4246,Wenatchee School District,Wenatchee High School,9,12,Eric J Anderson,anderson.eric@wenatcheeschools.org,509.663.8117," Public School, Regular School",High School,Wenatchee,Wenatchee High School,1101 MILLERDALE AVE,WA,98801,Chelan County,47.409774,-120.3268,"Wenatchee, WA",N
2150,Sedro Woolley Senior High School,13,285,Teaches Computer Science,29101,Sedro-Woolley School District,Sedro Woolley Senior High School,9,12,Kerri  Carlton,kcarlton@swsd.k12.wa.us,360.855.3510," Public School, Regular School",High School,Sedro-Woolley,Sedro Woolley Senior High School,1235 Third Street,WA,98284,Skagit County,48.500189,-122.236535,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
2166,Centralia High School,2,17,Teaches Computer Science,21401,Centralia School District,Centralia High School,9,12,Josue  Lowe,jlowe@centralia.wednet.edu,360.330.7605," Public School, Regular School",High School,Centralia,Centralia High School,813 Eshom Road,WA,98531,Lewis County,46.726502,-123.002236,"Centralia, WA","Seattle-Tacoma, WA"
2172,Lewis & Clark High School,12,496,Teaches Computer Science,32081,Spokane School District,Lewis & Clark High School,9,12,Marybeth  Smith,marybethsm@spokaneschools.org,509.354.7000," Public School, Regular School",High School,Spokane,Lewis & Clark High School,521 W 4Th Ave,WA,99204,Spokane County,47.651877,-117.420305,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
2179,Fort Vancouver High School,1,20,Teaches Computer Science,6037,Vancouver School District,Fort Vancouver High School,9,12,Franklin  Scheidel,curt.scheidel@vansd.org,360.313.4000," Public School, Regular School",High School,Vancouver,Fort Vancouver High School,5700 E 18TH ST,WA,98661,Clark County,45.636377,-122.612841,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
2182,Franklin High School,8,142,Teaches Computer Science,17001,Seattle Public Schools,Franklin High School,9,12,Jennifer  Wiley,jwiley@seattleschools.org,206.252.6150," Public School, Regular School",High School,Seattle,Franklin High School,3013 S MT BAKER BV,WA,98144,King County,47.576039,-122.293139,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2206,Eatonville High School,9,166,Teaches Computer Science,27404,Eatonville School District,Eatonville High School,9,12,Amy  Sturdivant,a.sturdivant@eatonville.wednet.edu,360.879.1200," Public School, Regular School",High School,Eatonville,Eatonville High School,302 Mashell Ave N,WA,98328,Pierce County,46.87116,-122.267462,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2215,Lincoln,8,330,Teaches Computer Science,27010,Tacoma School District,Lincoln,9,12,Pat  Erwin,perwin@tacoma.k12.wa.us,253.571.6700," Public School, Regular School",High School,Tacoma,Lincoln,701 S 37th St,WA,98418,Pierce County,47.225201,-122.441415,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2220,Ballard High School,14,500,Teaches Computer Science,17001,Seattle Public Schools,Ballard High School,9,12,Keven  Wynkoop,kswynkoop@seattleschools.org,206.252.1000," Public School, Regular School",High School,Seattle,Ballard High School,1418 NW 65 ST,WA,98117,King County,47.676893,-122.374534,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2233,Mansfield Elem And High School,1,5,Teaches Computer Science,9207,Mansfield School District,Mansfield Elem And High School,PK,12,Shane  Bird,sbird@mansfield.wednet.edu,509.683.1012," Public School, Regular School",K-12,Mansfield,Mansfield Elem And High School,491 ROAD 14 N.E.,WA,98830,Douglas County,47.816395,-119.643627,"Wenatchee, WA",N
2234,West Seattle High School,12,182,Teaches Computer Science,17001,Seattle Public Schools,West Seattle High School,9,12,Brian  Vance,brvance@seattleschools.org,206.252.8805," Public School, Regular School",High School,Seattle,West Seattle High School,3000 CALIFORNIA AV SW,WA,98116,King County,47.576899,-122.384499,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2246,Okanogan High School,2,16,Teaches Computer Science,24105,Okanogan School District,Okanogan High School,9,12,Bob D Shacklett,bshacklett@oksd.wednet.edu,509.422.3770," Public School, Regular School",High School,Okanogan,Okanogan High School,244 South 5th Street,WA,98840,Okanogan County,48.364959,-119.58528,N,N
2266,Kelso High School,3,58,Teaches Computer Science,8458,Kelso School District,Kelso High School,9,12,Christine Marie Mcdaniel,christine.mcdaniel@kelsosd.org,360.501.1827," Public School, Regular School",High School,Kelso,Kelso High School,1904 Allen St,WA,98626,Cowlitz County,46.143636,-122.892133,"Longview, WA","Portland-Vancouver-Salem, OR-WA"
2270,Puget Sound Skills Center,1,10,Teaches Computer Science,17401,Highline School District,Puget Sound Skills Center,10,12,Todd  Moorhead,todd.moorhead@highlineschools.org,206.631.7300," Public School, Vocational/technical school",High School,Seattle,Puget Sound Skills Center,18010 8th Ave S,WA,98148,King County,47.441145,-122.323223,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2272,South Kitsap High School,8,184,Teaches Computer Science,18402,South Kitsap School District,South Kitsap High School,9,12,Diane  Fox,foxd@skschools.org,360.874.5600," Public School, Regular School",High School,Port Orchard,South Kitsap High School,425 MITCHELL AVE,WA,98366,Kitsap County,47.537765,-122.624239,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
2285,Roosevelt High School,12,294,Teaches Computer Science,17001,Seattle Public Schools,Roosevelt High School,9,12,Kristina  Rodgers,karodgers@seattleschools.org,206.252.4815," Public School, Regular School",High School,Seattle,Roosevelt High School,1410 NE 66 ST,WA,98115,King County,47.677287,-122.312763,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2295,Mount Vernon High School,7,105,Teaches Computer Science,29320,Mount Vernon School District,Mount Vernon High School,9,12,Teresa  Wattawa,twattawa@mvsd320.org,360.428.6100," Public School, Regular School",High School,Mount Vernon,Mount Vernon High School,314 N 9th St,WA,98273,Skagit County,48.423352,-122.327092,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
2306,Garfield High School,12,506,Teaches Computer Science,17001,Seattle Public Schools,Garfield High School,9,12,Ted  Howard Ii,thoward@seattleschools.org,206.252.2270," Public School, Regular School",High School,Seattle,Garfield High School,400 23 Ave,WA,98122,King County,47.605009,-122.301926,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2325,Highline High School,8,118,Teaches Computer Science,17401,Highline School District,Highline High School,9,12,  ,,," Public School, Regular School",High School,Burien,Highline High School,225 S 152nd St,WA,98148,King County,47.46638,-122.330345,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2329,Cle Elum Roslyn High School,2,12,Teaches Computer Science,19404,Cle Elum-Roslyn School District,Cle Elum Roslyn High School,9,12,Brett  Simpson,simpsonb@cersd.org,509.649.4901," Public School, Regular School",High School,Cle Eum,Cle Elum Roslyn High School,2692 SR 903,WA,98922,Kittitas County,47.203867,-120.973435,"Ellensburg, WA",N
2362,Burlington Edison High School,8,178,Teaches Computer Science,29100,Burlington-Edison School District,Burlington Edison High School,9,12,Todd  Setterlund,tsetterlund@be.wednet.edu,360.757.4074," Public School, Regular School",High School,Burlington,Burlington Edison High School,301 N BURLINGTON BLVD,WA,98233,Skagit County,48.477864,-122.336961,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
2388,Selah High School,8,196,Teaches Computer Science,39119,Selah School District,Selah High School,9,12,Todd   Hilberg,toddhilberg@selahschools.org,509.698.8505," Public School, Regular School",High School,Selah,Selah High School,801 North First Street,WA,98942,Yakima County,46.664189,-120.528252,"Yakima, WA",N
