DistrictCode,DistrictName,SchoolCode,SchoolName,term,cipcode,courseTitle,letterGrade,count,cs_course
2420,Asotin-Anatone School District,2434,Asotin Jr Sr High,SEM1,110201,AP Computer Science Principles,A ,3,yes
2420,Asotin-Anatone School District,2434,Asotin Jr Sr High,SEM1,110201,CSS ENGINEERING,A-,1,yes
2420,Asotin-Anatone School District,2434,Asotin Jr Sr High,SEM1,110201,CSS ENGINEERING,A ,3,yes
2420,Asotin-Anatone School District,2434,Asotin Jr Sr High,SEM1,110201,CSS ENGINEERING,D ,1,yes
2420,Asotin-Anatone School District,2434,Asotin Jr Sr High,SEM2,110201,AP Computer Science Principles,A ,3,yes
2420,Asotin-Anatone School District,2434,Asotin Jr Sr High,SEM2,110201,CSS ENGINEERING,A-,1,yes
2420,Asotin-Anatone School District,2434,Asotin Jr Sr High,SEM2,110201,CSS ENGINEERING,A ,1,yes
2420,Asotin-Anatone School District,2434,Asotin Jr Sr High,SEM2,110201,CSS ENGINEERING,B-,2,yes
3017,Kennewick School District,1941,Mid-Columbia Parent Partnership,SEM1,110201,TT  Computer Science/Cyber Security 1,A ,1,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,Computer Science,A-,2,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,Computer Science,B-,1,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,Computer Science,B ,1,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,Computer Science,B+,2,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,Computer Science,C ,2,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,Computer Science,C+,2,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,Computer Science,F ,2,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,TT  Computer Science/Cyber Security 1,A-,1,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,TT  Computer Science/Cyber Security 1,A ,1,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,VC  Computer Science 1,A-,3,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,VC  Computer Science 1,A ,12,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,VC  Computer Science 1,B-,5,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,VC  Computer Science 1,B ,5,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,VC  Computer Science 1,B+,4,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,VC  Computer Science 1,C-,1,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,VC  Computer Science 1,C ,8,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,VC  Computer Science 1,C+,2,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,VC  Computer Science 1,D ,4,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,VC  Computer Science 1,D+,2,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,VC  Computer Science 1,F ,2,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,VC  Computer Science 3,A ,8,yes
3017,Kennewick School District,2826,Kennewick High School,SEM1,110201,VC  Computer Science 3,B ,1,yes
