LEACode,LEAName,SchoolCode,SchoolName,LowestGrade,HighestGrade,PrincipalName,Email,Phone,OrgCategoryList,GradeCategory,City
38300,Colfax School District,3366,Colfax High School,7,12,David  Gibb,david.gibb@csd300.com,509.830.2347," Public School, Regular School",High School,Colfax
38301,Palouse School District,2634,Palouse High School,9,12,Mike  Jones,mjones@garpal.net,509.878.1921," Public School, Regular School",High School,Palouse
38306,Colton School District,2588,Colton School,PK,12,Tim  Casey,tcasey@colton.k12.wa.us,509.229.3386," Public School, Regular School",PK-12,Colton
38320,Rosalia School District,3204,Rosalia Elementary & Secondary School,PK,12,Matthew  McLain,mmclain@rosaliaschools.org,509.523.3061," Public School, Regular School",PK-12,Rosalia
38322,St. John School District,3068,St John/Endicott High,9,12,Mark  Purvine,mpurvine@stjohn.wednet.edu,509.648.3336," Public School, Regular School",High School,Saint John
39003,Naches Valley School District,2591,Naches Valley High School,9,12,Rich  Rouleau,rrouleau@nvsd.org,509.457.8781," Public School, Regular School",High School,Naches
39007,Yakima School District,2116,Davis High School,9,12,Ryan  McDaniel,mcdaniel.ryan@yakimaschools.org,509.573.2501," Public School, Regular School",High School,Yakima
39007,Yakima School District,3206,Eisenhower High School,9,12,John Eric Diener,diener.john@yakimaschools.org,509.573.2601," Public School, Regular School",High School,Yakima
39007,Yakima School District,4093,Stanton Academy,9,12,Dave  Chaplin,Chaplin.Dave@yakimaschools.org,509.573.1201," Alternative School, Public School",High School,Yakima
39090,East Valley School District (Yakima),2344,East Valley High School,9,12,Kayla  Monroe,monroe.kayla@evsd90.org,509.573.7420," Public School, Regular School",High School,Yakima
39119,Selah School District,2388,Selah High School,9,12,Todd   Hilberg,ToddHilberg@selahschools.org,509.698.8505," Public School, Regular School",High School,Selah
39119,Selah School District,4272,Selah Academy Online,9,12,JOE  COSCARART,joecoscarart@selahschools.org,509.698.8063," Alternative School, Public School",High School,Selah
39200,Grandview School District,1776,Contract Learning Center,9,12,Jose  Rivera,jrivera@gsd200.org,509.882.8523," Alternative School, Public School",High School,Grandview
39200,Grandview School District,2555,Grandview High School,9,12,Kimberly  Casey,kkcasey@gsd200.org,509.882.8750," Public School, Regular School",High School,Grandview
39201,Sunnyside School District,2959,Sunnyside High School,9,12,Ryan  Maxwell,ryan.maxwell@sunnysideschools.org,509.837.2601," Public School, Regular School",High School,Sunnyside
39202,Toppenish School District,2900,Toppenish High School,9,12,Cindy  Nichols,nicholsc@toppenish.wednet.edu,509.865.3370," Public School, Regular School",High School,TOPPENISH
