X,Y,FID,SchoolCode,Latitude,Longitude,ESDCode,ESDName,LEACode,LEAName,SchoolName,LowestGrad,HighestGra,AddressLin,AddressL_1,City,State,ZipCode,PrincipalN,Email,Phone,OrgCategor,AYPCode,GradeCateg,OrgCateg_1
-119.195783178735226,46.224367091909365,2001,4007,46.2243731339,-119.195796946,11801,Educational Service District 123,03017,Kennewick School District,Benton/Franklin Juvenile Justice Center,6,12,5606 WEST CANAL DRIVE, ,KENNEWICK,Washington,99336-1300,Dennis  Boatman,dennis.boatman@ksd.org,509.222.6522, Detention Center,J,Other,Public
-122.354845479482933,47.21184420924633,2002,5549,47.2118500004,-122.35486,OSPI,Office of Superintendent of Public Instruction,27901,Chief Leschi Tribal Compact,Chief Leschi Schools,K,12,5625 52nd St E, ,Puyallup,Washington,98371,Bruce  Leonardy,bruce.leonardy@leschischools.org,253.445.6000," Not Affiliated With District, Tribal School",Q,K-12,Tribal
-122.460763275915824,45.593231177297021,2003,5534,45.593236863,-122.460777478,06801,Educational Service District 112,06117,Camas School District,Odyssey Middle School,6,8,5780 Pacific Rim Blvd, ,Camas,Washington,98607,Aaron J Smith,aaronj.smith@camas.wednet.edu,360-833-5780," Affiliated With District, Public School",P,Middle School,Public
-117.558706205236248,47.80896368585514,2004,5417,47.8089699997,-117.55872,32801,Educational Service District 101,32325,Nine Mile Falls School District,Re-Engagement School (Nine Mile Falls),9,12,5909 Highway 291, ,Nine Mile Falls,Washington,99026,Willard B Osborn,bosborn@9mile.org,509.340.4200," Public School, Re-Engagement School",R,High School,Public
-122.917265435121791,46.994554278444582,2005,5305,46.9945600002,-122.91728,OSPI,Office of Superintendent of Public Instruction,34801,Capital Region ESD 113,GRAVITY High School,11,13,6005 Tyee Dr. SW, ,Tumwater,Washington,98512,Gerald  Grubbs,ggrubbs@esd113.org,360.927.6232," Public School, Re-Engagement School",R,High School,Public
-122.445953138333479,47.255807552919194,2006,1816,47.255813337,-122.445967683,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,TCC Fresh Start,9,12,601 S 8th St, ,Tacoma,Washington,98405-0000,Gil  Mendoza,gmendoz@tacoma.k12.wa.us,(253) 571-1126," Affiliated With District, College/University, Public School",C,High School,Public
-122.335984113117291,48.418249946134871,2007,3363,48.4182558041,-122.335998908,OSPI,Office of Superintendent of Public Instruction,29801,Northwest Educational Service District 189,Skagit County Detention Center,8,12,605 3RD ST, ,MOUNT VERNON,Washington,98273-3867,Steve  Dahl,sdahl@nwesd.org,360.299.4000, Detention Center,J,High School,Public
-119.277886204462177,46.299813959915177,2008,3469,46.29982,-119.277900001,11801,Educational Service District 123,03400,Richland School District,Twin Rivers Group Home,9,12,605 MCMURRAY, ,RICHLAND,Washington,99352-2239,Randy  Kimbler,kimblr@dshs.wa.gov,(509) 734-7140, Institution,I,High School,Public
-122.341435417859188,47.496414191933475,2009,5277,47.4964199996,-122.34145,17801,Puget Sound Educational Service District 121,17401,Highline School District,Southwest Youth and Family Services,9,12,C/O New Start,614 SW 120th St,Seattle,Washington,98146,Michael  Sita,michael.sita@highlineschools.org,206.631.7630," Affiliated With District, Contract School, Public School",Z,High School,Public
-122.341435417859188,47.496414191933475,2010,5254,47.4964199996,-122.34145,17801,Puget Sound Educational Service District 121,17401,Highline School District,Gateway to College,10,13,614 SW 120th Street, ,Burien,Washington,98146,Michael Thomas Sita,michael.sita@highlineschools.org,206.433.8760," Alternative School, Public School",A,High School,Public
-119.21904623026542,46.221683960426049,2011,5235,46.2216899996,-119.21906,11801,Educational Service District 123,03017,Kennewick School District,Benton County Jail,9,12,7122 W Okanogan Place, ,Kennewick,Washington,99337,Dennis  Boatman,dennis.boatman@ksd.org,509.222.6522," Adult Jail, Affiliated With District",J,High School,Public
-122.301969499431095,47.160673206806095,2012,5321,47.160679,-122.301984,17801,Puget Sound Educational Service District 121,27003,Puyallup School District,Puyallup Open Doors/POD,9,12,716 South Hill Park Drive,Suite B,Puyalllup,Washington,98373,Adriana  Julian,JuliaAC@puyallup.k12.wa.us,253.841.8630," Public School, Re-Engagement School",R,High School,Public
-122.301969499431095,47.160673206806095,2013,5322,47.160679,-122.301984,17801,Puget Sound Educational Service District 121,27003,Puyallup School District,Puyallup Parent Partnership Program,K,8,716 South Hill Park Drive,Suite B,Puyallup,Washington,98373,Adriana  Julian,JuliaAC@puyallup.k12.wa.us,253.841.8630," Alternative School, Public School",A,Other,Public
-122.54837951005814,47.220832473524233,2014,5353,47.2208382447,-122.548394064,17801,Puget Sound Educational Service District 121,27083,University Place School District,CHS Drop-Out Reengagement Program,9,12,8425 40TH ST W, ,University Place,Washington,98466, , , ," Public School, Re-Engagement School",R,High School,Public
