X,Y,FID,SchoolCode,Latitude,Longitude,ESDCode,ESDName,LEACode,LEAName,SchoolName,LowestGrad,HighestGra,AddressLin,AddressL_1,City,State,ZipCode,PrincipalN,Email,Phone,OrgCategor,AYPCode,GradeCateg,OrgCateg_1
-119.1957832,46.22436709,2001,4007,46.22437313,-119.1957969,11801,Educational Service District 123,3017,Kennewick School District,Benton/Franklin Juvenile Justice Center,6,12,5606 WEST CANAL DRIVE, ,KENNEWICK,Washington,99336-1300,Dennis  Boatman,dennis.boatman@ksd.org,509.222.6522, Detention Center,J,Other,Public
-122.3548455,47.21184421,2002,5549,47.21185,-122.35486,OSPI,Office of Superintendent of Public Instruction,27901,Chief Leschi Tribal Compact,Chief Leschi Schools,K,12,5625 52nd St E, ,Puyallup,Washington,98371,Bruce  Leonardy,bruce.leonardy@leschischools.org,253.445.6000," Not Affiliated With District, Tribal School",Q,K-12,Tribal
-122.4607633,45.59323118,2003,5534,45.59323686,-122.4607775,6801,Educational Service District 112,6117,Camas School District,Odyssey Middle School,6,8,5780 Pacific Rim Blvd, ,Camas,Washington,98607,Aaron J Smith,aaronj.smith@camas.wednet.edu,360-833-5780," Affiliated With District, Public School",P,Middle School,Public
-117.5587062,47.80896369,2004,5417,47.80897,-117.55872,32801,Educational Service District 101,32325,Nine Mile Falls School District,Re-Engagement School (Nine Mile Falls),9,12,5909 Highway 291, ,Nine Mile Falls,Washington,99026,Willard B Osborn,bosborn@9mile.org,509.340.4200," Public School, Re-Engagement School",R,High School,Public
-122.9172654,46.99455428,2005,5305,46.99456,-122.91728,OSPI,Office of Superintendent of Public Instruction,34801,Capital Region ESD 113,GRAVITY High School,11,13,6005 Tyee Dr. SW, ,Tumwater,Washington,98512,Gerald  Grubbs,ggrubbs@esd113.org,360.927.6232," Public School, Re-Engagement School",R,High School,Public
-122.4459531,47.25580755,2006,1816,47.25581334,-122.4459677,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,TCC Fresh Start,9,12,601 S 8th St, ,Tacoma,Washington,98405-0000,Gil  Mendoza,gmendoz@tacoma.k12.wa.us,(253) 571-1126," Affiliated With District, College/University, Public School",C,High School,Public
-122.3359841,48.41824995,2007,3363,48.4182558,-122.3359989,OSPI,Office of Superintendent of Public Instruction,29801,Northwest Educational Service District 189,Skagit County Detention Center,8,12,605 3RD ST, ,MOUNT VERNON,Washington,98273-3867,Steve  Dahl,sdahl@nwesd.org,360.299.4000, Detention Center,J,High School,Public
-119.2778862,46.29981396,2008,3469,46.29982,-119.2779,11801,Educational Service District 123,3400,Richland School District,Twin Rivers Group Home,9,12,605 MCMURRAY, ,RICHLAND,Washington,99352-2239,Randy  Kimbler,kimblr@dshs.wa.gov,(509) 734-7140, Institution,I,High School,Public
-122.3414354,47.49641419,2009,5277,47.49642,-122.34145,17801,Puget Sound Educational Service District 121,17401,Highline School District,Southwest Youth and Family Services,9,12,C/O New Start,614 SW 120th St,Seattle,Washington,98146,Michael  Sita,michael.sita@highlineschools.org,206.631.7630," Affiliated With District, Contract School, Public School",Z,High School,Public
-122.3414354,47.49641419,2010,5254,47.49642,-122.34145,17801,Puget Sound Educational Service District 121,17401,Highline School District,Gateway to College,10,13,614 SW 120th Street, ,Burien,Washington,98146,Michael Thomas Sita,michael.sita@highlineschools.org,206.433.8760," Alternative School, Public School",A,High School,Public
