X,Y,OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,LEVEL_,ENROLLMENT,ST_GRADE,END_GRADE,DISTRICTID,FT_TEACHER,SHELTER_ID
-122.6176204,45.64268629,302,5.30927E+11,LEWIS AND CLARK HIGH SCHOOL,2901 GENERAL ANDERSON AVE,VANCOUVER,WA,98661,6181,(360) 313-4350,1,1,84,CLARK,53011,USA,45.64268629,-122.6176204,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530927001579,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2016-10-27T00:00:00.000Z,http://lchs.vansd.org,3,77,9,12,5309270,7,NOT AVAILABLE
-122.5238376,47.63623594,303,5.30033E+11,MOSAIC HOME EDUCATION PARTNERSHIP,9530 NE HIGH SCHOOL RD,BAINBRIDGE ISLAND,WA,98110,NOT AVAILABLE,(206) 780-1646,4,1,67,KITSAP,53035,USA,47.63623594,-122.5238376,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530033002802,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2016-10-27T00:00:00.000Z,NOT AVAILABLE,1,65,KG,8,5300330,2,NOT AVAILABLE
-124.0517499,46.34915978,323,5.30606E+11,LONG BEACH ELEMENTARY SCHOOL,400 WASHINGTON AVE S,LONG BEACH,WA,98631,NOT AVAILABLE,(360) 642-3242,1,1,258,PACIFIC,53049,USA,46.34915978,-124.0517499,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530606000912,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2010-08-03T00:00:00.000Z,ocean.k12.wa.us,1,243,KG,4,5306060,15,10784701
-122.6216901,45.72691293,358,5.30038E+11,PLEASANT VALLEY MIDDLE,14320 NE 50TH AVE,VANCOUVER,WA,98686,NOT AVAILABLE,(360) 885-5500,1,1,539,CLARK,53011,USA,45.72691293,-122.6216901,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530038000054,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2016-10-27T00:00:00.000Z,NOT AVAILABLE,2,507,5,8,5300380,32,NOT AVAILABLE
-117.5779019,47.50618734,400,5.30123E+11,CHENEY MIDDLE SCHOOL,740 BETZ,CHENEY,WA,99004,2181,(509) 559-4400,1,1,515,SPOKANE,53063,USA,47.50618734,-117.5779019,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530123000224,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2010-07-12T00:00:00.000Z,NOT AVAILABLE,2,487,6,8,5301230,28,10776484
-122.144114,48.07735411,401,5.30486E+11,KELLOGG MARSH ELEMENTARY SCHOOL,6325 91ST ST NE,MARYSVILLE,WA,98270,2875,(360) 965-1902,1,1,514,SNOHOMISH,53061,USA,48.07735411,-122.144114,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530486002261,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2010-08-13T00:00:00.000Z,NOT AVAILABLE,1,486,PK,5,5304860,28,10795224
-122.3500534,47.75359772,407,5.30792E+11,SHOREWOOD HIGH SCHOOL,17300 FREMONT AVENUE N.,SHORELINE,WA,98133,5299,(206) 393-4372,1,1,1704,KING,53033,USA,47.75359772,-122.3500534,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530792001317,2009-12-10T00:00:00.000Z,IMAGERY/OTHER,2011-11-08T00:00:00.000Z,NOT AVAILABLE,3,1629,9,12,5307920,75,NOT AVAILABLE
-120.6121925,46.66934159,437,5.30546E+11,NACHES VALLEY PRIMARY SCHOOL,2700 OLD NACHES HIGHWAY,YAKIMA,WA,98908,NOT AVAILABLE,(509) 966-5050,1,1,309,YAKIMA,53077,USA,46.66934159,-120.6121925,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530546000823,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2010-08-04T00:00:00.000Z,NOT AVAILABLE,1,293,PK,2,5305460,16,10790050
-117.4570915,47.67596354,458,5.30825E+11,ALTERNATIVE TAMARACK SCHOOL,W 2901 FT GEORGE WRIGHT,SPOKANE,WA,99224,5253,(509) 354-8100,1,1,3,SPOKANE,53063,USA,47.67596354,-117.4570915,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530825000074,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2016-10-27T00:00:00.000Z,NOT AVAILABLE,3,3,7,12,5308250,-1,NOT AVAILABLE
-121.8151755,47.86600174,550,5.30855E+11,SULTAN ELEMENTARY SCHOOL,501 DATE ST.,SULTAN,WA,98294,NOT AVAILABLE,(360) 793-9830,1,1,577,SNOHOMISH,53061,USA,47.86600174,-121.8151755,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530855001438,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2010-08-13T00:00:00.000Z,www.sultan.k12.wa.us/ses,1,544,KG,5,5308550,33,10783503
