NAME,CITY,STATE,ZIP,CNTY,NMCNTY,CD,SLDL,SLDU,SCHOOLYEAR
Black Diamond Elementary,Black Diamond,WA,98010,53033,King County,5308,53005,53005,2017-2018
Byron Kibler Elementary School,Enumclaw,WA,98022,53033,King County,5308,53031,53031,2017-2018
Enumclaw Sr High School,Enumclaw,WA,98022,53033,King County,5308,53031,53031,2017-2018
Southwood Elementary School,Enumclaw,WA,98022,53033,King County,5308,53031,53031,2017-2018
Westwood Elementary School,Enumclaw,WA,98022,53033,King County,5308,53005,53005,2017-2018
Sunrise Elementary,Enumclaw,WA,98022,53033,King County,5308,53031,53031,2017-2018
Enumclaw Middle School,Enumclaw,WA,98022,53033,King County,5308,53031,53031,2017-2018
Thunder Mountain Middle School,Enumclaw,WA,98022,53033,King County,5308,53031,53031,2017-2018
Special Ed School,Enumclaw,WA,98022,53033,King County,5308,53031,53031,2017-2018
JJ Smith Elementary,Enumclaw,WA,98022,53033,King County,5308,53031,53031,2017-2018
Inchelium High School,Inchelium,WA,99138,53019,Ferry County,5305,53007,53007,2017-2018
Inchelium Middle School,Inchelium,WA,99138,53019,Ferry County,5305,53007,53007,2017-2018
Inchelium Elementary School,Inchelium,WA,99138,53019,Ferry County,5305,53007,53007,2017-2018
Carrolls Elementary,Kelso,WA,98626,53015,Cowlitz County,5303,53020,53020,2017-2018
Barnes Elementary,Kelso,WA,98626,53015,Cowlitz County,5303,53019,53019,2017-2018
Beacon Hill Elementary,Longview,WA,98632,53015,Cowlitz County,5303,53019,53019,2017-2018
Butler Acres Elementary,Kelso,WA,98626,53015,Cowlitz County,5303,53019,53019,2017-2018
Catlin Elementary,Kelso,WA,98626,53015,Cowlitz County,5303,53019,53019,2017-2018
Coweeman Middle School,Kelso,WA,98626,53015,Cowlitz County,5303,53019,53019,2017-2018
Huntington Middle School,Kelso,WA,98626,53015,Cowlitz County,5303,53019,53019,2017-2018
Kelso High School,Kelso,WA,98626,53015,Cowlitz County,5303,53019,53019,2017-2018
Rose Valley Elementary,Kelso,WA,98626,53015,Cowlitz County,5303,53020,53020,2017-2018
Wallace Elementary,Kelso,WA,98626,53015,Cowlitz County,5303,53019,53019,2017-2018
Special Education,Kelso,WA,98626,53015,Cowlitz County,5303,53019,53019,2017-2018
Loowit High School,Kelso,WA,98626,53015,Cowlitz County,5303,53019,53019,2017-2018
Kelso Virtual Academy,Kelso,WA,98626,53015,Cowlitz County,5303,53019,53019,2017-2018
Cowlitz County Youth Services Center,Longview,WA,98632,53015,Cowlitz County,5303,53019,53019,2017-2018
Clark County Juvenile Detention School,Vancouver,WA,98660,53011,Clark County,5303,53049,53049,2017-2018
ESD 112 Open Doors Reengagement,Vancouver,WA,98661,53011,Clark County,5303,53049,53049,2017-2018
Clallam Co Juvenile Detention,PORT ANGELES,WA,98363,53009,Clallam County,5306,53024,53024,2017-2018
Kitsap Co Detention Ctr,PORT ORCHARD,WA,98366,53035,Kitsap County,5306,53026,53026,2017-2018
Snohomish Detention Center,Everett,WA,98201,53061,Snohomish County,5302,53038,53038,2017-2018
Pass Program,Everett,WA,98201,53061,Snohomish County,5302,53038,53038,2017-2018
Skagit County Detention Center,MOUNT VERNON,WA,98273,53057,Skagit County,5301,53040,53040,2017-2018
Whatcom Co Detention Ctr,BELLINGHAM,WA,98225,53073,Whatcom County,5302,53042,53042,2017-2018
Open Doors - Youth Reengagement Program,Anacortes,WA,98221,53057,Skagit County,5302,53040,53040,2017-2018
Martin Hall Detention Ctr,Medical Lake,WA,99022,53063,Spokane County,5305,53006,53006,2017-2018
Structural Alt Confinement School,Spokane,WA,99205,53063,Spokane County,5305,53003,53003,2017-2018
Spokane Juvenile Detention School,Spokane,WA,99205,53063,Spokane County,5305,53003,53003,2017-2018
NEWESD 101 Open Doors,Spokane,WA,99202,53063,Spokane County,5305,53003,53003,2017-2018
GRAVITY High School,Tumwater,WA,98512,53067,Thurston County,5310,53022,53022,2017-2018
Walla Walla County Juvenile Detention,WALLA WALLA,WA,99362,53071,Walla Walla County,5305,53016,53016,2017-2018
Ugrad ? ESD123 Re-Engagement Program,Pasco,WA,99301,53021,Franklin County,5304,53016,53016,2017-2018
Bates Technical High School,Tacoma,WA,98405,53053,Pierce County,5306,53027,53027,2017-2018
Bates Technical College - Open Doors,Tacoma,WA,98405,53053,Pierce County,5306,53027,53027,2017-2018
Washington State School for the Deaf,Vancouver,WA,98661,53011,Clark County,5303,53049,53049,2017-2018
Garrett Heyns High School,Shelton,WA,98584,53045,Mason County,5306,53035,53035,2017-2018
Northwest Career and Technical High School,Lakewood,WA,98499,53053,Pierce County,5310,53029,53029,2017-2018
A J West Elementary,Aberdeen,WA,98520,53027,Grays Harbor County,5306,53019,53019,2017-2018
Harbor High School,Aberdeen,WA,98520,53027,Grays Harbor County,5306,53019,53019,2017-2018
Central Park Elementary,Aberdeen,WA,98520,53027,Grays Harbor County,5306,53019,53019,2017-2018
J M Weatherwax High School,Aberdeen,WA,98520,53027,Grays Harbor County,5306,53019,53019,2017-2018
McDermoth Elementary,Aberdeen,WA,98520,53027,Grays Harbor County,5306,53019,53019,2017-2018
Miller Junior High,Aberdeen,WA,98520,53027,Grays Harbor County,5306,53019,53019,2017-2018
Robert Gray Elementary,Aberdeen,WA,98520,53027,Grays Harbor County,5306,53019,53019,2017-2018
Stevens Elementary School,Aberdeen,WA,98520,53027,Grays Harbor County,5306,53019,53019,2017-2018
Grays Harbor Juvenile Detention,Aberdeen,WA,98520,53027,Grays Harbor County,5306,53019,53019,2017-2018
Hopkins Elementary,Aberdeen,WA,98520,53027,Grays Harbor County,5306,53019,53019,2017-2018
Twin Harbors - A Branch of New Market Skills Center,Aberdeen,WA,98520,53027,Grays Harbor County,5306,53019,53019,2017-2018
Adna Elementary School,Chehalis,WA,98532,53041,Lewis County,5303,53020,53020,2017-2018
Adna Middle/High School,Chehalis,WA,98532,53041,Lewis County,5303,53020,53020,2017-2018
Almira Elementary School,ALMIRA,WA,99103,53043,Lincoln County,5305,53013,53013,2017-2018
Anacortes Middle School,Anacortes,WA,98221,53057,Skagit County,5302,53040,53040,2017-2018
Anacortes High School,Anacortes,WA,98221,53057,Skagit County,5302,53040,53040,2017-2018
Fidalgo Elementary,Anacortes,WA,98221,53057,Skagit County,5302,53010,53010,2017-2018
Island View Elementary,Anacortes,WA,98221,53057,Skagit County,5302,53040,53040,2017-2018
Mount Erie Elementary,Anacortes,WA,98221,53057,Skagit County,5302,53040,53040,2017-2018
Whitney Elementary Anacortes,Anacortes,WA,98221,53057,Skagit County,5302,53040,53040,2017-2018
Cap Sante High School,Anacortes,WA,98221,53057,Skagit County,5302,53040,53040,2017-2018
Arlington High School,Arlington,WA,98223,53061,Snohomish County,5302,53039,53039,2017-2018
Post Middle School,Arlington,WA,98223,53061,Snohomish County,5302,53039,53039,2017-2018
Kent Prairie Elementary,Arlington,WA,98223,53061,Snohomish County,5302,53039,53039,2017-2018
Presidents Elementary,Arlington,WA,98223,53061,Snohomish County,5302,53039,53039,2017-2018
Weston High School,Arlington,WA,98223,53061,Snohomish County,5302,53039,53039,2017-2018
Eagle Creek Elementary,Arlington,WA,98223,53061,Snohomish County,5302,53039,53039,2017-2018
Stillaguamish School,Arlington,WA,98223,53061,Snohomish County,5302,53039,53039,2017-2018
Pioneer Elementary,Arlington,WA,98223,53061,Snohomish County,5302,53039,53039,2017-2018
Haller Middle School,Arlington,WA,98223,53061,Snohomish County,5302,53039,53039,2017-2018
Arlington Special Educ School,Arlington,WA,98223,53061,Snohomish County,5302,53039,53039,2017-2018
Arlington Open Doors,Arlington,WA,98223,53061,Snohomish County,5302,53039,53039,2017-2018
Asotin Elementary,ASOTIN,WA,99402,53003,Asotin County,5305,53009,53009,2017-2018
Asotin Jr Sr High,ASOTIN,WA,99402,53003,Asotin County,5305,53009,53009,2017-2018
Alpac Elementary School,PACIFIC,WA,98047,53033,King County,5308,53030,53030,2017-2018
West Auburn Senior High School,AUBURN,WA,98001,53033,King County,5308,53047,53047,2017-2018
Auburn Senior High School,AUBURN,WA,98002,53033,King County,5308,53031,53031,2017-2018
Cascade Middle School,AUBURN,WA,98002,53033,King County,5308,53047,53047,2017-2018
Chinook Elementary School,AUBURN,WA,98092,53033,King County,5308,53031,53031,2017-2018
Evergreen Heights Elementary,AUBURN,WA,98001,53033,King County,5308,53047,53047,2017-2018
Lea Hill Elementary School,AUBURN,WA,98092,53033,King County,5308,53047,53047,2017-2018
Dick Scobee Elementary School,AUBURN,WA,98002,53033,King County,5308,53047,53047,2017-2018
Olympic Middle School,AUBURN,WA,98002,53033,King County,5308,53031,53031,2017-2018
Pioneer Elementary School,AUBURN,WA,98002,53033,King County,5308,53031,53031,2017-2018
Gildo Rey Elementary School,AUBURN,WA,98002,53033,King County,5308,53030,53030,2017-2018
Terminal Park Elementary School,AUBURN,WA,98002,53033,King County,5308,53030,53030,2017-2018
Washington Elementary School,AUBURN,WA,98002,53033,King County,5308,53031,53031,2017-2018
Ilalko Elementary School,AUBURN,WA,98092,53033,King County,5308,53031,53031,2017-2018
Mt Baker Middle School,AUBURN,WA,98002,53033,King County,5308,53030,53030,2017-2018
Lake View Elementary School,AUBURN,WA,98092,53033,King County,5308,53031,53031,2017-2018
Hazelwood Elementary School,AUBURN,WA,98092,53033,King County,5308,53047,53047,2017-2018
Rainier Middle School,AUBURN,WA,98092,53033,King County,5308,53047,53047,2017-2018
Auburn Riverside High School,AUBURN,WA,98092,53033,King County,5308,53031,53031,2017-2018
Special Ed School,AUBURN,WA,98002,53033,King County,5308,53031,53031,2017-2018
Auburn Mountainview High School,Auburn,WA,98092,53033,King County,5308,53047,53047,2017-2018
Lakeland Hills Elementary,AUBURN,WA,98092,53053,Pierce County,5308,53031,53031,2017-2018
Arthur Jacobsen Elementary,Auburn,WA,98092,53033,King County,5308,53047,53047,2017-2018
Lake Washington Technical Academy,Kirkland,WA,98034,53033,King County,5301,53045,53045,2017-2018
Open Doors at LWIT,Kirkland,WA,98034,53033,King County,5301,53045,53045,2017-2018
Washington State School for the Blind,Vancouver,WA,98661,53011,Clark County,5303,53049,53049,2017-2018
Washington Youth Academy,Bremerton,WA,98312,53035,Kitsap County,5306,53035,53035,2017-2018
Chief Kitsap Academy,Poulsbo,WA,98370,53035,Kitsap County,5306,53023,53023,2017-2018
Bainbridge High School,Bainbridge Island,WA,98110,53035,Kitsap County,5306,53023,53023,2017-2018
Capt. Charles Wilkes Elem School,Bainbridge Island,WA,98110,53035,Kitsap County,5306,53023,53023,2017-2018
Capt Johnston Blakely Elem Sch,Bainbridge Island,WA,98110,53035,Kitsap County,5306,53023,53023,2017-2018
Ordway Elementary,Bainbridge Island,WA,98110,53035,Kitsap County,5306,53023,53023,2017-2018
Woodward Middle School,Bainbridge Island,WA,98110,53035,Kitsap County,5306,53023,53023,2017-2018
Odyssey Multiage Program,Bainbridge Island,WA,98110,53035,Kitsap County,5306,53023,53023,2017-2018
Sakai Intermediate,Bainbridge Island,WA,98110,53035,Kitsap County,5306,53023,53023,2017-2018
Mosaic Home Education Partnership,Bainbridge Island,WA,98110,53035,Kitsap County,5306,53023,53023,2017-2018
Eagle Harbor High School,Bainbridge Island,WA,98110,53035,Kitsap County,5306,53023,53023,2017-2018
Bainbridge Special Education Services,Bainbridge Island,WA,98110,53035,Kitsap County,5306,53023,53023,2017-2018
Excel Public Charter School,Kent,WA,98031,53033,King County,5309,53011,53011,2017-2018
Summit Public School: Olympus,Tacoma,WA,98421,53053,Pierce County,5309,53027,53027,2017-2018
Summit Public School: Sierra,Seattle,WA,98104,53033,King County,5309,53037,53037,2017-2018
Rainier Prep,Seattle,WA,98168,53033,King County,5309,53033,53033,2017-2018
SOAR Academy Public Charter School,Tacoma,WA,98405,53053,Pierce County,5306,53027,53027,2017-2018
Spokane International Academy Elementary,Spokane,WA,99217,53063,Spokane County,5305,53003,53003,2017-2018
Destiny Middle School,Tacoma,WA,98404,53053,Pierce County,5310,53027,53027,2017-2018
PRIDE Prep School,Spokane,WA,99202,53063,Spokane County,5305,53003,53003,2017-2018
ESA 112 Special Ed Co-Op,Vancouver,WA,98661,53011,Clark County,5303,53049,53049,2017-2018
Rainier Valley Leadership Academy,Seattle,WA,98118,53033,King County,5309,53037,53037,2017-2018
Summit Public School: Atlas,Seattle,WA,98126,53033,King County,5307,53034,53034,2017-2018
Amboy Middle School,AMBOY,WA,98601,53011,Clark County,5303,53018,53018,2017-2018
Battle Ground High School,BATTLE GROUND,WA,98604,53011,Clark County,5303,53018,53018,2017-2018
Glenwood Heights Primary,VANCOUVER,WA,98662,53011,Clark County,5303,53017,53017,2017-2018
Laurin Middle School,VANCOUVER,WA,98662,53011,Clark County,5303,53017,53017,2017-2018
Pleasant Valley Middle,VANCOUVER,WA,98686,53011,Clark County,5303,53017,53017,2017-2018
Pleasant Valley Primary,VANCOUVER,WA,98686,53011,Clark County,5303,53017,53017,2017-2018
Yacolt Primary,YACOLT,WA,98675,53011,Clark County,5303,53018,53018,2017-2018
Summit View High School,Brush Prairie,WA,98606,53011,Clark County,5303,53017,53017,2017-2018
Prairie High School,BRUSH PRAIRIE,WA,98662,53011,Clark County,5303,53017,53017,2017-2018
Preschool Infant Other,Brush Prairie,WA,98606,53011,Clark County,5303,53017,53017,2017-2018
Captain Strong,BATTLE GROUND,WA,98604,53011,Clark County,5303,53018,53018,2017-2018
CAM Academy,BATTLE GROUND,WA,98604,53011,Clark County,5303,53018,53018,2017-2018
Homelink River,BATTLE GROUND,WA,98604,53011,Clark County,5303,53018,53018,2017-2018
