NAME,STREET,CITY,STATE,ZIP,NMCNTY,LAT,LON,NMCBSA,NMCSA
Black Diamond Elementary,25314 Baker Street,Black Diamond,WA,98010,King County,47.30983,-122.004981,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Byron Kibler Elementary School,2057 Kibler Ave,Enumclaw,WA,98022,King County,47.210768,-121.996719,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Enumclaw Sr High School,226 Semanski St South,Enumclaw,WA,98022,King County,47.190352,-122.006793,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Southwood Elementary School,3240 McDougall Avenue,Enumclaw,WA,98022,King County,47.187505,-122.011684,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Westwood Elementary School,21200 SE 416th,Enumclaw,WA,98022,King County,47.229146,-122.057712,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Sunrise Elementary,899 Osceola At 244th Ave SE,Enumclaw,WA,98022,King County,47.185549,-122.014946,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Enumclaw Middle School,550 Semanski Street,Enumclaw,WA,98022,King County,47.186979,-122.008112,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Thunder Mountain Middle School,42018 264th Avenue SE,Enumclaw,WA,98022,King County,47.22306,-121.987581,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Special Ed School,2929 McDougall Avenue,Enumclaw,WA,98022,King County,47.188196,-122.00657,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
JJ Smith Elementary,1640 Fell Street,Enumclaw,WA,98022,King County,47.20664,-121.993781,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Inchelium High School,1 Hornet Avenue,Inchelium,WA,99138,Ferry County,48.301316,-118.198164,N,N
Inchelium Middle School,1 Hornet Avenue,Inchelium,WA,99138,Ferry County,48.301344,-118.198163,N,N
Inchelium Elementary School,2 Hornet Avenue,Inchelium,WA,99138,Ferry County,48.301399,-118.198191,N,N
Carrolls Elementary,3902 Old Pacific Hwy S,Kelso,WA,98626,Cowlitz County,46.07021,-122.866189,"Longview, WA","Portland-Vancouver-Salem, OR-WA"
Barnes Elementary,401 Barnes,Kelso,WA,98626,Cowlitz County,46.159688,-122.907918,"Longview, WA","Portland-Vancouver-Salem, OR-WA"
Beacon Hill Elementary,257 Alpha Dr,Longview,WA,98632,Cowlitz County,46.180315,-122.925884,"Longview, WA","Portland-Vancouver-Salem, OR-WA"
Butler Acres Elementary,1609 Burcham St,Kelso,WA,98626,Cowlitz County,46.151319,-122.893873,"Longview, WA","Portland-Vancouver-Salem, OR-WA"
Catlin Elementary,404 Long Ave.,Kelso,WA,98626,Cowlitz County,46.14884,-122.918521,"Longview, WA","Portland-Vancouver-Salem, OR-WA"
Coweeman Middle School,2000 Allen St,Kelso,WA,98626,Cowlitz County,46.143887,-122.888586,"Longview, WA","Portland-Vancouver-Salem, OR-WA"
Huntington Middle School,500 Redpath,Kelso,WA,98626,Cowlitz County,46.154321,-122.904627,"Longview, WA","Portland-Vancouver-Salem, OR-WA"
Kelso High School,1904 Allen St,Kelso,WA,98626,Cowlitz County,46.143636,-122.892133,"Longview, WA","Portland-Vancouver-Salem, OR-WA"
Rose Valley Elementary,1502 Rose Valley Rd,Kelso,WA,98626,Cowlitz County,46.098281,-122.826541,"Longview, WA","Portland-Vancouver-Salem, OR-WA"
Wallace Elementary,410 Elm St,Kelso,WA,98626,Cowlitz County,46.134738,-122.912305,"Longview, WA","Portland-Vancouver-Salem, OR-WA"
Special Education,601 Crawford St,Kelso,WA,98626,Cowlitz County,46.147393,-122.905862,"Longview, WA","Portland-Vancouver-Salem, OR-WA"
Loowit High School,2001 Allen St,Kelso,WA,98626,Cowlitz County,46.14549,-122.890151,"Longview, WA","Portland-Vancouver-Salem, OR-WA"
Kelso Virtual Academy,1904 Allen St,Kelso,WA,98626,Cowlitz County,46.14298,-122.890511,"Longview, WA","Portland-Vancouver-Salem, OR-WA"
Cowlitz County Youth Services Center,1725 1st Ave.,Longview,WA,98632,Cowlitz County,46.14054,-122.919451,"Longview, WA","Portland-Vancouver-Salem, OR-WA"
Clark County Juvenile Detention School,500 West 11th St,Vancouver,WA,98660,Clark County,45.62995,-122.676521,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
ESD 112 Open Doors Reengagement,2500 NE 65th Avenue,Vancouver,WA,98661,Clark County,45.63909,-122.605811,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Clallam Co Juvenile Detention,1912 W 18TH ST,PORT ANGELES,WA,98363,Clallam County,48.119281,-123.484857,"Port Angeles, WA",N
Kitsap Co Detention Ctr,1338 SW OLD CLIFTON RD,PORT ORCHARD,WA,98366,Kitsap County,47.520598,-122.665733,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Snohomish Detention Center,2801 10th Street,Everett,WA,98201,Snohomish County,48.00484,-122.193547,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Pass Program,2731 10th St. Suite 106,Everett,WA,98201,Snohomish County,48.004505,-122.194152,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Skagit County Detention Center,605 3RD ST,MOUNT VERNON,WA,98273,Skagit County,48.418273,-122.335765,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
Whatcom Co Detention Ctr,311 GRAND AVE 6TH FL,BELLINGHAM,WA,98225,Whatcom County,48.754347,-122.48,"Bellingham, WA",N
Open Doors - Youth Reengagement Program,1601 R Avenue,Anacortes,WA,98221,Skagit County,48.50946,-122.607401,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
Martin Hall Detention Ctr,201 S. Pine St.,Medical Lake,WA,99022,Spokane County,47.570865,-117.696081,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Structural Alt Confinement School,1208 W. Mallen St.,Spokane,WA,99205,Spokane County,47.665616,-117.430582,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Spokane Juvenile Detention School,1208 Mallen St.,Spokane,WA,99205,Spokane County,47.665619,-117.430588,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
