ESDCode,ESDName,LEACode,LEAName,SchoolCode,SchoolName,LowestGrade,HighestGrade,AddressLine1,AddressLine2,City,State,ZipCode,PrincipalName,Email,Phone,OrgCategoryList,AYPCode,GradeCategory
32801,Educational Service District 101,38267,Pullman School District,3203,Jefferson Elementary,PK,5,1150 NW Bryant,,Pullman,Washington,99163-3361,Jim  Bruce,jbruce@psd267.org,509.332.2617," Public School, Regular School",P,Elementary School
32801,Educational Service District 101,38267,Pullman School District,3419,Lincoln Middle School,6,8,315 SE Crestview,,Pullman,Washington,99163-2298,Cameron  Grow,cgrow@psd267.wednet.edu,509.334.3411," Public School, Regular School",P,Middle School
32801,Educational Service District 101,38267,Pullman School District,3614,Sunnyside Elementary,PK,5,425 SW Shirley,,Pullman,Washington,99163-2763,Pam  Brantner,pbrantner@psd267.org,509.334.1800," Public School, Regular School",P,Elementary School
32801,Educational Service District 101,38300,Colfax School District,2894,Leonard M Jennings Elementary,K ,6,1207 N. Morton Street,,Colfax,Washington,99111-2133,Travis  Howell,travis.howell@csd300.com,509.397.2181," Public School, Regular School",P,Other
32801,Educational Service District 101,38300,Colfax School District,3366,Colfax High School,7,12,1110 N. Morton Street,,Colfax,Washington,99111-2133,David  Gibb,david.gibb@csd300.com,509.830.2347," Public School, Regular School",P,High School
32801,Educational Service District 101,38301,Palouse School District,2622,Palouse Elementary,PK,5,600 E Alder Street,,Palouse,Washington,99161-8780,Mike  Jones,mjones@garpal.net,509.878.1921," Public School, Regular School",P,Elementary School
32801,Educational Service District 101,38301,Palouse School District,2634,Palouse High School,9,12,600 East Alder Street,,Palouse,Washington,99161-8780,Mike  Jones,mjones@garpal.net,509.878.1921," Public School, Regular School",P,High School
32801,Educational Service District 101,38302,Garfield School District,2895,Garfield Elementary,PK,5,POB 398,,Garfield,Washington,99130-0398,Zane  Wells,zwells@garpal.wednet.edu,509.635.1331," Public School, Regular School",P,Elementary School
32801,Educational Service District 101,38302,Garfield School District,2896,Garfield Middle School,6,8,POB 398,,Garfield,Washington,99130-0398,Zane  Wells,zwells@garpal.wednet.edu,509.635.1331," Public School, Regular School",P,Middle School
32801,Educational Service District 101,38304,Steptoe School District,2115,Steptoe Elementary School,PK,8,PO Box 138,,Steptoe,Washington,99174-3138,Eric  Patton,ericp@steptoe.k12.wa.us,509.397.3119," Public School, Regular School",P,Other
32801,Educational Service District 101,38306,Colton School District,2588,Colton School,PK,12,706 Union,,Colton,Washington,99113-0000,Tim  Casey,tcasey@colton.k12.wa.us,509.229.3386," Public School, Regular School",P,PK-12
32801,Educational Service District 101,38308,Endicott School District,2207,Endicott/St John Elem and Middle,PK,8,308 School Dr,,Endicott,Washington,99125-0000,Bruce  Porubek,bporubek@endicott.wednet.edu,509.657.3523," Public School, Regular School",P,Other
32801,Educational Service District 101,38320,Rosalia School District,3204,Rosalia Elementary & Secondary School,PK,12,916 South Josephine,,Rosalia,Washington,99170,Matthew  McLain,mmclain@rosaliaschools.org,509.523.3061," Public School, Regular School",P,PK-12
32801,Educational Service District 101,38322,St. John School District,3068,St John/Endicott High,9,12,W 301 Nob Hill,,Saint John,Washington,99171-0058,Mark  Purvine,mpurvine@stjohn.wednet.edu,509.648.3336," Public School, Regular School",P,High School
32801,Educational Service District 101,38322,St. John School District,3069,St John Elementary,PK,5,W 301 Nob Hill,,Saint John,Washington,99171-0058,Mark  Purvine,mpurvine@stjohn.wednet.edu,509.648.3336," Public School, Regular School",P,Elementary School
32801,Educational Service District 101,38324,Oakesdale School District,2432,Oakesdale High School,6,12,P.O. Box 228,,Oakesdale,Washington,99158-0228,Jake  Dingman,jdingman@gonighthawks.net,509.285.5296," Public School, Regular School",P,Other
32801,Educational Service District 101,38324,Oakesdale School District,3205,Oakesdale Elementary School,PK,5,P.O. Box 228,,Oakesdale,Washington,99158-0228,Jake  Dingman,jdingman@gonighthawks.net,509.285.5296," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39002,Union Gap School District,2714,Union Gap School,PK,8,3201 4th Street,,Union Gap,Washington,98903-1894,Patrick  Vincent,pvincent@uniongap.org,509.248.3966," Public School, Regular School",P,Other
39801,Educational Service District 105,39003,Naches Valley School District,2591,Naches Valley High School,9,12,PO Box 159,,Naches,Washington,98937-0000,Rich  Rouleau,rrouleau@nvsd.org,509.457.8781," Public School, Regular School",P,High School
39801,Educational Service District 105,39003,Naches Valley School District,2898,Naches Valley Middle School,5,8,PO Box 39,,Naches,Washington,98937-0000,Todd A. Hilmes,thilmes@nvsd.org,509.452.4604," Public School, Regular School",P,Middle School
39801,Educational Service District 105,39007,Yakima School District,2116,Davis High School,9,12,212 S 6th Ave,,Yakima,Washington,98902-3303,Ryan  McDaniel,mcdaniel.ryan@yakimaschools.org,509.573.2501," Public School, Regular School",P,High School
39801,Educational Service District 105,39007,Yakima School District,2176,Garfield Elementary School,K ,5,612 N 6th Ave,,Yakima,Washington,98902-2197,Steve  Brownlow,brownlow.steve@yakimaschools.org,509.573.5701," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39007,Yakima School District,2177,Mckinley Elementary School,K ,5,621 S 13th Ave,,Yakima,Washington,98902-4320,Amanda  Voorhees,Voorhees.Amanda@yakimaschools.org,509.573.1401," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39007,Yakima School District,2314,Washington Middle School,6,8,510 S 9th St,,Yakima,Washington,98901-4617,William  Hilton,Hilton.William@yakimaschools.org,509.573.2301," Public School, Regular School",P,Middle School
39801,Educational Service District 105,39007,Yakima School District,2410,Franklin Middle School,6,8,410 S 19th Ave,,Yakima,Washington,98902-3898,Sherry  Anderson,Anderson.Sherry@yakimaschools.org,509.573.2101," Public School, Regular School",P,Middle School
39801,Educational Service District 105,39007,Yakima School District,2433,Ridgeview Elementary,K ,5,609 W Washington Ave,,Yakima,Washington,98903-1310,K.C.  Mitchell,mitchel.k.c@yakimaschools.org,509.573.1801," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39007,Yakima School District,2529,Roosevelt Elementary School,K ,5,120 N 16th Ave,,Yakima,Washington,98902-2926,Nancy  Smith,smith.nancy@yakimaschools.org,509.573.1701," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39007,Yakima School District,2592,Adams Elementary School,PK,5,723 S 8th St,,Yakima,Washington,98901-3322,Timothy  Lee,lee.timothy@yakimaschools.org,509.573.5101," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39007,Yakima School District,2715,Hoover Elementary School,PK,5,400 W Viola Ave,,Yakima,Washington,98902-5697,Julio  Sanchez,sanchez.julio@yakimaschools.org,509.573.5901," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39007,Yakima School District,2818,Gilbert Elementary School,K ,5,4400 Douglas Dr,,Yakima,Washington,98908-2699,Stephanie  Rosbach,rosbach.stephanie@yakimaschools.org,509.573.5801," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39007,Yakima School District,2819,Nob Hill Elementary School,K ,5,801 S 34th Ave,,Yakima,Washington,98902-3999,Erin  Thomas,thomas.erin@yakimaschools.org,509.573.1501," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39007,Yakima School District,2899,Mcclure Elementary School Yakima,PK,5,1222 S 22nd Ave,,Yakima,Washington,98902-5117,Deb  Lavis,lavis.deb@yakimaschools.org,509.573.1301," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39007,Yakima School District,3023,Discovery Lab School,1,8,2810 Castlevale Rd,,Yakima,Washington,98902-7330,Phil  Vasquez,vasquez.phil@yakimaschools.org,509.573.5401," Public School, Regular School",P,Other
39801,Educational Service District 105,39007,Yakima School District,3138,Barge-Lincoln Elementary School,PK,5,219 E I St,,Yakima,Washington,98901-1999,Hector  Mendez,mendez.hector@yakimaschools.org,509.573.5201," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39007,Yakima School District,3206,Eisenhower High School,9,12,611 South 44th Avenue,,Yakima,Washington,98908-3399,John Eric Diener,diener.john@yakimaschools.org,509.573.2601," Public School, Regular School",P,High School
39801,Educational Service District 105,39007,Yakima School District,3264,Robertson Elementary,K ,5,2807 W Lincoln Ave,,Yakima,Washington,98902-2344,Mark  Hummel,hummel.mark@yakimaschools.org,509.573.1601," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39007,Yakima School District,3312,Whitney Elementary Yakima,PK,5,4411 W Nob Hill Blvd,,Yakima,Washington,98908-3740,Kimberlee  Newell,Newell.Kimberlee@yakimaschools.org,509.573.1901," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39007,Yakima School District,3368,Wilson Middle School,6,8,902 S 44th Ave,,Yakima,Washington,98908-3838,Ernesto  Araiza,Araiza.Ernesto@yakimaschools.org,509.573.2401," Public School, Regular School",P,Middle School
39801,Educational Service District 105,39007,Yakima School District,3615,Lewis & Clark Middle School,6,8,1114 W Pierce St,,Yakima,Washington,98902-5823,Victor  Nourani,Nourani.Victor@yakimaschools.org,509.573.2201," Public School, Regular School",P,Middle School
39801,Educational Service District 105,39007,Yakima School District,3817,Martin Luther King Jr Elementary,K ,5,2000 S 18th St,,Yakima,Washington,98903-3941,Maria  Villalovos,villalovos.maria@yakimaschools.org,509.573.1101," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39007,Yakima School District,4092,Juvenile Detention Center,5,12,1728 JEROME AVE,,YAKIMA,Washington,98902-0000,Lois  Menard,Menard.Lois@yakimaschools.org,509.573.5580, Detention Center,J,Other
39801,Educational Service District 105,39007,Yakima School District,4093,Stanton Academy,9,12,802 River Rd,,Yakima,Washington,98902-0000,Dave  Chaplin,Chaplin.Dave@yakimaschools.org,509.573.1201," Alternative School, Public School",A,High School
39801,Educational Service District 105,39090,East Valley School District (Yakima),2344,East Valley High School,9,12,1900 Beaudry Road,,Yakima,Washington,98901-8012,Kayla  Monroe,monroe.kayla@evsd90.org,509.573.7420," Public School, Regular School",P,High School
39801,Educational Service District 105,39090,East Valley School District (Yakima),2530,Moxee Elementary,K ,5,PO BOX 69,,Moxee,Washington,98936-0000,Elizabeth  Hockens,hockens.elizabeth@evsd90.org,509.573.7720," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39090,East Valley School District (Yakima),2821,Terrace Heights Elementary,K ,5,101 N 41ST ST,,Yakima,Washington,98901-0000,TAMI  SCRIVNER,scrivner.tami@evsd90.org,509.573.7820," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39090,East Valley School District (Yakima),4055,East Valley Central Middle School,6,8,2010 BEAUDRY RD,,YAKIMA,Washington,98901-8082,Matthew  Toth,toth.matthew@evsd90.org,509.573.7520," Public School, Regular School",P,Middle School
39801,Educational Service District 105,39090,East Valley School District (Yakima),4487,East Valley Elementary,PK,5,1951 Beaudry Road,,Yakima,Washington,98901-8012,Colleen  Crowston,crowston.colleen@evsd90.org,509.573.7620," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39119,Selah School District,2388,Selah High School,9,12,801 North First Street,,Selah,Washington,98942-0000,Todd   Hilberg,ToddHilberg@selahschools.org,509.698.8505," Public School, Regular School",P,High School
39801,Educational Service District 105,39119,Selah School District,4272,Selah Academy Online,9,12,308 W Naches Ave,,Selah,Washington,98942-0000,JOE  COSCARART,joecoscarart@selahschools.org,509.698.8063," Alternative School, Public School",A,High School
39801,Educational Service District 105,39120,Mabton School District,3070,Artz Fox Elementary,K ,6,PO Box 40,,Mabton,Washington,98935-0040,Joe  West,westj@msd120.org,509.894.4941," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39200,Grandview School District,1776,Contract Learning Center,9,12,913 W 2nd ST,,Grandview,Washington,98930-0000,Jose  Rivera,jrivera@gsd200.org,509.882.8523," Alternative School, Public School",A,High School
39801,Educational Service District 105,39200,Grandview School District,2345,Mcclure Elementary School,PK,5,811 W 2nd ST,,Grandview,Washington,98930-0000,Elyse  Walker,emwalker@gsd200.org,509.882.7100," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39200,Grandview School District,2555,Grandview High School,9,12,1601 W 5th ST,,Grandview,Washington,98930-0000,Kimberly  Casey,kkcasey@gsd200.org,509.882.8750," Public School, Regular School",P,High School
39801,Educational Service District 105,39200,Grandview School District,2756,Thompson Elementary School,PK,5,1105 W 2nd ST,,Grandview,Washington,98930-0000,JULIE  WYSONG,jwysong@gsd200.org,509.882.8550," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39200,Grandview School District,3013,Smith Elementary School,PK,5,205 Fir Ave,,Grandview,Washington,98930-0000,Jared  Lind,jlind@gsd200.org,509.882.8683," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39200,Grandview School District,3071,Grandview Middle School,6,8,1401 W 2nd ST,,Grandview,Washington,98930-0000,James  Heinle,jjheinle@gsd200.org,509.882.8710," Public School, Regular School",P,Middle School
39801,Educational Service District 105,39201,Sunnyside School District,2469,Outlook Elementary School,PK,5,1110 S. 6th Street,,Sunnyside,Washington,98944-2197,Maria  Hernandez,maria.hernandez@sunnysideschools.org,509.837.3352," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39201,Sunnyside School District,2717,Washington Elementary,PK,5,1110 S. 6th Street,,Sunnyside,Washington,98944-2197,Gwyn  Trull,gwyn.trull@sunnysideschools.org,509.837.3641," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39201,Sunnyside School District,2959,Sunnyside High School,9,12,1110 S. 6th Street,,Sunnyside,Washington,98944-2197,Ryan  Maxwell,ryan.maxwell@sunnysideschools.org,509.837.2601," Public School, Regular School",P,High School
39801,Educational Service District 105,39201,Sunnyside School District,3313,Harrison Middle School,6,8,1110 S 6th St,,Sunnyside,Washington,98944-2197,Robert  Bowman,robert.bowman@sunnysideschools.org,509.836.4151," Public School, Regular School",P,Middle School
39801,Educational Service District 105,39201,Sunnyside School District,4000,Chief Kamiakin Elementary School,PK,5,1110 S. 6th Street,,Sunnyside,Washington,98944-2197,Kim  Frank,kim.frank@sunnysideschools.org,509.837.6444," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39201,Sunnyside School District,4497,Pioneer Elementary School,PK,5,1110 S. 6th Street,,Sunnyside,Washington,98944-2197,Kristine  Diddens,kris.diddens@sunnysideschools.org,509.836.2200," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39202,Toppenish School District,1508,Computer Academy Toppenish High School,6,12,143 WARD RD,,TOPPENISH,Washington,98948-1000,Daniel  Sanchez,dsanchez@toppenish.wednet.edu,509.865.3377," Alternative School, Public School",A,Other
39801,Educational Service District 105,39202,Toppenish School District,1831,Toppenish Pre School,PK,PK,407 S. JUNIPER ST,,TOPPENISH,Washington,98948-1194,Anastasia  Sanchez,sancheza@toppenish.wednet.edu,509.865.8267," Public School, Regular School",P,PK Only
39801,Educational Service District 105,39202,Toppenish School District,2264,Toppenish Middle School,6,8,104 GOLDENDALE AVENUE,,TOPPENISH,Washington,98948-1280,Ruben  Saldivar,rsaldivar@toppenish.wednet.edu,509.865.2730," Public School, Regular School",P,Middle School
39801,Educational Service District 105,39202,Toppenish School District,2608,Garfield Elementary School,K ,5,505 MADISON AVE,,TOPPENISH,Washington,98948-1173,Melissa  Brackney,mbrackney@toppenish.wednet.edu,509.865.4575," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39202,Toppenish School District,2635,Lincoln Elementary School,K ,5,309 NORTH ALDER STREET,,TOPPENISH,Washington,98948-1623,Patricia  Diaz,pdiaz@toppenish.wednet.edu,509.865.4555," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39202,Toppenish School District,2900,Toppenish High School,9,12,141 WARD ROAD,,TOPPENISH,Washington,98948-9100,Cindy  Nichols,nicholsc@toppenish.wednet.edu,509.865.3370," Public School, Regular School",P,High School
39801,Educational Service District 105,39202,Toppenish School District,4106,Kirkwood Elementary School,K ,5,403 SOUTH JUNIPER STREET,,TOPPENISH,Washington,98948-1017,Enrique  Romero,eromero@toppenish.wednet.edu,509.865.4750," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39203,Highland School District,2718,Highland Junior High School,7,8,PO Box 38,,Cowiche,Washington,98923-9719,Don  Strother,dstrother@highland.wednet.edu,509.678.8806," Public School, Regular School",P,Jr High
39801,Educational Service District 105,39203,Highland School District,3072,Marcus Whitman-Cowiche Elementary,PK,3,1181 Thompson Rd,,Cowiche,Washington,98923-9758,Mindy  Schultz,mschultz@highland.wednet.edu,509.678.8903," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39203,Highland School District,3073,Tieton Intermediate School,4,6,PO Box 6,,Tieton,Washington,98947-9504,Kelly  Thorson,kthorson@highland.wednet.edu,509.678.8703," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39203,Highland School District,4559,Highland High School,9,12,PO Box 38,,Cowiche,Washington,98923-9719,Brandon  Jensen,bjensen@highland.wednet.edu,509.678.8805," Public School, Regular School",P,High School
39801,Educational Service District 105,39204,Granger School District,2531,Granger Middle School,5,8,701 E Avenue,,Granger,Washington,98932-0400,Stephanie  Funk,funks@gsd.wednet.edu,509.854.1003 ext.2110," Public School, Regular School",P,Middle School
39801,Educational Service District 105,39204,Granger School District,3314,Granger High School,9,12,701 E Avenue,,Granger,Washington,98932-0400,James  West,westj@gsd.wednet.edu,509.854.1115 ext. 3115," Public School, Regular School",P,High School
39801,Educational Service District 105,39204,Granger School District,4535,Roosevelt Elementary,PK,4,701 E Avenue,,Granger,Washington,98932-0400,Ann  Bohrnsen-Thola,bohrnsena@gsd.wednet.edu,509.854.1420," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39205,Zillah School District,2240,Zillah High School,9,12,1602 Second Avenue,,Zillah,Washington,98953-9682,Mike  Torres,mike.torres@zillahschools.org,509.829.5565," Public School, Regular School",P,High School
39801,Educational Service District 105,39205,Zillah School District,2783,Hilton Elementary School,PK,3,211 Fourth Avenue,,Zillah,Washington,98953-9533,Ryne  Phillips,ryne.phillips@zillahschools.org,509.829.5400," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39205,Zillah School District,4221,Zillah Intermediate School,4,6,303 Second Avenue,,Zillah,Washington,98953-9543,Paula  Dasso,paula.dasso@zillahschools.org,509.829.5555," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39205,Zillah School District,4481,Zillah Middle School,7,8,1301 Cutler Way,,Zillah,Washington,98953-9119,Jeff  Charbonneau,jeff.charbonneau@zillahschools.org,509.829.5511," Public School, Regular School",P,Middle School
39801,Educational Service District 105,39207,Wapato School District,2131,Wapato Middle School,6,8,1309 Kateri Lane,,Wapato,Washington,98951-0038,Scott E Wells,ScottW@wapatosd.org,509.877.2173," Public School, Regular School",P,Middle School
39801,Educational Service District 105,39207,Wapato School District,2757,Satus Elementary,3,5,910 S. Camas Avenue,,Wapato,Washington,98951-1479,Luz  Juarez-Stump,luzst@wapatosd.org,509.877.2177," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39207,Wapato School District,3141,Wapato High School,9,12,1202 South Camas Avenue,,Wapato,Washington,98951-0038,David  Blakney,DavidB@wapatosd.org,509.877.3138," Public School, Regular School",P,High School
39801,Educational Service District 105,39207,Wapato School District,4022,Pace Alternative High School,6,12,310 S. Wasco Avenue,,Wapato,Washington,98951-1357,Paul  Zagelow,PaulZ@wapatosd.org,509.877.6138," Alternative School, Public School",A,Other
