DistrictCode,DistrictName,SchoolCode,SchoolName,term,stateCourseCodeId,courseTitle,letterGrade,count,cs_course
17407,Riverview School District,3524,Cedarcrest High School,SEM1,837,PRG/GAMES/SIM A,A-,2,no
17407,Riverview School District,3524,Cedarcrest High School,SEM1,837,PRG/GAMES/SIM A,A ,6,no
17407,Riverview School District,3524,Cedarcrest High School,SEM1,837,PRG/GAMES/SIM A,B ,1,no
17407,Riverview School District,3524,Cedarcrest High School,SEM1,837,PRG/GAMES/SIM A,B+,1,no
17407,Riverview School District,3524,Cedarcrest High School,SEM1,837,PRG/GAMES/SIM A,C ,1,no
17407,Riverview School District,3524,Cedarcrest High School,SEM1,837,PRG/GAMES/SIM A,C+,1,no
17407,Riverview School District,3524,Cedarcrest High School,SEM1,837,PRG/GAMES/SIM A,F ,1,no
17407,Riverview School District,3524,Cedarcrest High School,SEM2,837,PRG/GAMES/SIM B,A-,2,no
17407,Riverview School District,3524,Cedarcrest High School,SEM2,837,PRG/GAMES/SIM B,A ,6,no
17407,Riverview School District,3524,Cedarcrest High School,SEM2,837,PRG/GAMES/SIM B,B ,3,no
17407,Riverview School District,3524,Cedarcrest High School,SEM2,837,PRG/GAMES/SIM B,C-,1,no
17407,Riverview School District,3524,Cedarcrest High School,SEM2,837,PRG/GAMES/SIM B,C ,1,no
17407,Riverview School District,3524,Cedarcrest High School,SEM2,837,PRG/GAMES/SIM B,D ,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,839,Program Game Design,A ,9,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,839,Program Game Design,B-,2,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,839,Program Game Design,B ,2,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,839,Program Game Design,B+,2,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,839,Program Game Design,C-,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,839,Program Game Design,D ,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,839,Program Game Design,D+,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,839,Program Game Design,F ,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,839,Program Game Design,W ,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM2,839,Program Game Design,A-,2,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM2,839,Program Game Design,A ,10,no
17405,Bellevue School District,2701,Bellevue High School,SEM1,795,MS Office/Business Tech 1,A ,1,no
17405,Bellevue School District,2701,Bellevue High School,SEM1,795,MS Office/Business Tech 1,C ,1,no
17405,Bellevue School District,2701,Bellevue High School,SEM2,795,MS Office/Business Tech 1,A ,17,no
17405,Bellevue School District,2701,Bellevue High School,SEM2,795,MS Office/Business Tech 1,B ,4,no
17405,Bellevue School District,2701,Bellevue High School,SEM2,795,MS Office/Business Tech 1,C ,2,no
17405,Bellevue School District,2701,Bellevue High School,SEM2,795,MS Office/Business Tech 1,D ,1,no
17405,Bellevue School District,2701,Bellevue High School,SEM2,795,MS Office/Business Tech 1,NC,1,no
17405,Bellevue School District,3282,Sammamish Senior High,SEM1,795,MS Office/Business Tech 1,A ,21,no
17405,Bellevue School District,3282,Sammamish Senior High,SEM1,795,MS Office/Business Tech 1,B ,2,no
17405,Bellevue School District,3282,Sammamish Senior High,SEM1,795,MS Office/Business Tech 1,C ,2,no
17405,Bellevue School District,3282,Sammamish Senior High,SEM1,795,MS Office/Business Tech 1,F ,4,no
17405,Bellevue School District,3486,Newport Senior High School,SEM1,795,MS Office/Business Tech 1,A ,12,no
17405,Bellevue School District,3486,Newport Senior High School,SEM1,795,MS Office/Business Tech 1,B ,3,no
17405,Bellevue School District,3486,Newport Senior High School,SEM1,795,MS Office/Business Tech 1,C ,1,no
17405,Bellevue School District,3486,Newport Senior High School,SEM1,795,MS Office/Business Tech 1,D ,1,no
17405,Bellevue School District,3486,Newport Senior High School,SEM2,795,MS Office/Business Tech 1,A ,18,no
17405,Bellevue School District,3486,Newport Senior High School,SEM2,795,MS Office/Business Tech 1,B ,7,no
17405,Bellevue School District,3486,Newport Senior High School,SEM2,795,MS Office/Business Tech 1,C ,1,no
17405,Bellevue School District,3588,Interlake Senior High School,SEM1,795,MS Office/Business Tech 1,A ,15,no
17405,Bellevue School District,3588,Interlake Senior High School,SEM1,795,MS Office/Business Tech 1,B ,6,no
