statecoursecodeid,code,name,CS_Courses
1,1001,English/Language Arts I (9th grade) 01001,no
2,1002,English/Language Arts II (10th grade) 01002,no
3,1003,English/Language Arts III (11th grade) 01003,no
4,1004,English/Language Arts IV (12th grade) 01004,no
5,1005,AP English Language and Composition 01005,no
6,1006,AP English Literature and Composition 01006,no
7,1007,IB Language A (English) 01007,no
8,1008,English as a Second Language 01008,no
9,1009,Language Arts Laboratory 01009,no
10,1051,English/Literature (freshmen and sophomores) 01051,no
11,1052,English/Literature (juniors and seniors) 01052,no
12,1053,Literature 01053,no
13,1054,American Literature 01054,no
14,1055,American Literature/History 01055,no
15,1056,British Literature 01056,no
16,1057,British Literature/History 01057,no
17,1058,World Literature 01058,no
18,1059,Biblical Literature 01059,no
19,1060,Literature of an Author 01060,no
20,1061,Literature of a Genre 01061,no
21,1062,Literature of a Period 01062,no
22,1063,Literature of a Place 01063,no
23,1064,Literature of a People 01064,no
24,1065,Literature of a Theme 01065,no
25,1066,Strategic Reading 01066,no
26,1067,Assisted Reading 01067,no
27,1068,Corrective Reading 01068,no
28,1097,Literature-Independent Study 01097,no
29,1098,Literature-Workplace Experience 01098,no
30,1099,Literature-Other 01099,no
31,1101,English/Composition (freshmen and sophomores) 01101,no
32,1102,English/Composition (juniors and seniors) 01102,no
33,1103,Composition 01103,no
34,1104,Creative Writing 01104,no
35,1105,Research/Technical Writing 01105,no
36,1147,Composition-Independent Study 01147,no
37,1148,Composition-Workplace Experience 01148,no
38,1149,Composition-Other 01149,no
39,1151,Public Speaking 01151,no
40,1152,Forensic Speech-Inclusive 01152,no
41,1153,Forensic Speech-Debate 01153,no
42,1154,Forensic Speech-Individual Event 01154,no
43,1155,Communications 01155,no
44,1156,Applied English and Communications 01156,no
45,1197,Speech-Independent Study 01197,no
46,1198,Speech-Workplace Experience 01198,no
47,1199,Speech-Other 01199,no
48,1201,English Morphology and Grammar 01201,no
49,1202,History of the English Language 01202,no
50,1203,English-Test Preparation 01203,no
51,1992,English Proficiency Development 01992,no
52,1995,English Language and Literature-Aide 01995,no
53,1997,English Language and Literature-Independent Study 01997,no
54,1998,English Language and Literature-Workplace Experience 01998,no
55,1999,English Language and Literature-Other 01999,no
56,2001,Informal Mathematics 02001,no
57,2002,General Math 02002,no
58,2003,Particular Topics in Foundation Math 02003,no
59,2047,Foundation Math-Independent Study 02047,no
60,2049,Foundation Math-Other 02049,no
61,2051,Pre-Algebra 02051,no
62,2052,Algebra I 02052,no
63,2053,Algebra I-Part 1 02053,no
64,2054,Algebra I-Part 2 02054,no
65,2055,Transition Algebra 02055,no
66,2056,Algebra II 02056,no
67,2057,Algebra III 02057,no
68,2058,Particular Topics in Algebra 02058,no
69,2061,Integrated Math- first year  02061,no
70,2062,Integrated Math- second year  02062,no
71,2063,Integrated Math-third year 02063,no
72,2064,Integrated Math-fourth year 02064,no
73,2069,Algebra-Other 02069,no
74,2071,Informal Geometry 02071,no
75,2072,Geometry 02072,no
76,2073,Analytic Geometry 02073,no
77,2074,Principles of Algebra and Geometry 02074,no
78,2075,Particular Topics in Geometry 02075,no
79,2079,Geometry-Other 02079,no
80,2101,Number Theory 02101,no
81,2102,Discrete Mathematics 02102,no
82,2103,Trigonometry 02103,no
83,2104,Math Analysis 02104,no
84,2105,Trigonometry/Math Analysis 02105,no
85,2106,Trigonometry/Algebra 02106,no
86,2107,Trigonometry/Analytic Geometry 02107,no
87,2108,Math Analysis/Analytic Geometry 02108,no
88,2109,Elementary Functions 02109,no
89,2110,Pre-Calculus 02110,no
90,2111,Linear Algebra 02111,no
91,2112,Linear Programming 02112,no
92,2113,Abstract Algebra 02113,no
93,2121,Calculus 02121,no
94,2122,Multivariate Calculus 02122,no
95,2123,Differential Calculus 02123,no
96,2124,AP Calculus AB 02124,no
97,2125,AP Calculus BC 02125,no
98,2126,Particular Topics in Calculus 02126,no
99,2131,IB Mathematical Studies 02131,no
100,2132,IB Mathematics 02132,no
101,2133,IB Mathematics and Computing-SL 02133,no
102,2134,IB Further Mathematics-SL 02134,no
103,2141,Particular Topics in Analytic Mathematics 02141,no
104,2149,Analytic Mathematics-Other 02149,no
105,2151,General Applied Math 02151,no
106,2152,Occupationally Applied Math 02152,no
107,2153,Technical Math 02153,no
108,2154,Business Math 02154,no
109,2155,Business Math with Algebra 02155,no
110,2156,Computer Math with Algebra 02156,no
111,2157,Consumer Math 02157,no
112,2201,Probability and Statistics 02201,no
113,2202,Inferential Probability and Statistics 02202,no
114,2203,AP Statistics 02203,no
