School_Code,School_Name,School_Teaches_Computer_Science,Total_Computer_Science_Courses_Taught,Yearly_Enrolled_in_Computer_Science,X,Y,FID,Latitude,Longitude,ESDCode,ESDName,LEACode,LEAName,SchoolName_y,Lowest_Grade,Highest_Grade,Address_Line_1,Address_Line_2,City,State,Zip_Code_Long,Principal_Name,Email,Phone,Org_Category,AYPCode,GradeCateg,Org_Category_2,Zip_Code,CountyID,County_Name
1519,Edmonds Elearning Academy,Teaches Computer Science,1.0,1.0,-122.33467830000001,47.81065455,809,47.81066037,-122.33469299999999,29801,Northwest Educational Service District 189,31015,Edmonds School District,Edmonds Elearning Academy,9,12,7501 208th St SW, ,Lynnwood,Washington,98036-7400,Katie  Bjornstad,bjornstadk@edmonds.wednet.edu,425.431.1528," Alternative School, Public School",A,High School,Public,98036,53061,Snohomish County
1547,Middle College High School,Teaches Computer Science,4.0,58.0,-122.3258749,47.70652538,1579,47.7065312,-122.3258895,17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,Middle College High School,9,12,401 NE Northgate Way,#203,Seattle,Washington,98125,Elizabeth  Mcfarland,emmcfarland@seattleschools.org,206.252.9905," Public School, Regular School",P,High School,Public,98125,53033,King County
1627,Yelm Extension School,Teaches Computer Science,2.0,3.0,-122.60573149999999,46.94246125,1302,46.942467,-122.605746,34801,Capital Region ESD 113,34002,Yelm School District,Yelm Extension School,9,12,PO Box 476, ,Yelm,Washington,98597-0476,Ryan  Akiyama,ryan_akiyama@ycs.wednet.edu,360.458.7777," Alternative School, Public School",A,High School,Public,98597,53067,Thurston County
1628,Dishman Hills High School,Teaches Computer Science,6.0,158.0,-117.2602256,47.65557818,707,47.65558451,-117.2602393,32801,Educational Service District 101,32363,West Valley School District (Spokane),Dishman Hills High School,9,12,115 S University,Suite A,Spokane,Washington,99206-0000,Lauren  House,lauren.house@wvsd.org,509.927.1100," Alternative School, Public School",A,High School,Public,99206,53063,Spokane County
1640,Puyallup Online Academy/Poa,Teaches Computer Science,2.0,6.0,-122.3019547,47.16066761,1552,47.1606734,-122.3019692,17801,Puget Sound Educational Service District 121,27003,Puyallup School District,Puyallup Online Academy/Poa,K,12,716 South Hill Park Drive,Suite B,Puyallup,Washington,98373,Adriana  Julian,juliaac@puyallup.k12.wa.us,253.841.8630," Alternative School, Public School",A,K-12,Public,98373,53053,Pierce County
1657,Heritage School,Teaches Computer Science,4.0,54.0,-122.19912930000001,48.0617346,1044,48.06174045,-122.19914399999999,29801,Northwest Educational Service District 189,31025,Marysville School District,Heritage School,9,12,7204 27th Ave NE, ,Marysville,Washington,98271,Shelly  Lacy,shelly_lacy@msd25.org,306.965.2800," Public School, Regular School",P,High School,Public,98271,53061,Snohomish County
1680,James A. Taylor High School,Teaches Computer Science,2.0,2.0,-122.8414758,47.41684620000001,1512,47.41685196,-122.8414905,18801,Olympic Educational Service District 114,23403,North Mason School District,James A. Taylor High School,9,12,90 E North Mason School Road, ,Belfair,Washington,98528-0000,Anne  Crosby,acrosby@northmasonschools.org,360.277.2393," Alternative School, Public School",A,High School,Public,98528,53045,Mason County
1688,Emerson K-12,Teaches Computer Science,4.0,4.0,-122.19569950000002,47.65466851,1455,47.65467434,-122.19571409999999,17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,Emerson K-12,K,12,10903 NE 53rd Street, ,Kirkland,Washington,98033-7508,Nell  Ballard-Jones,nballard-jones@lwsd.org,425.936.2311," Alternative School, Public School",A,K-12,Public,98033,53033,King County
1718,Explorer Academy,Teaches Computer Science,6.0,15.0,-122.62710420000002,47.52501448,1599,47.52502026,-122.6271189,18801,Olympic Educational Service District 114,18402,South Kitsap School District,Explorer Academy,K,12,1962 HOOVER AVE SE, ,Port Orchard,Washington,98366-0000,Pat  Oster,oster@skschools.org,360.443.3605," Alternative School, Public School",A,K-12,Public,98366,53035,Kitsap County
1854,Parade,Teaches Computer Science,1.0,4.0,-121.9078605,47.65221114,1572,47.652217,-121.907875,17801,Puget Sound Educational Service District 121,17407,Riverview School District,Parade,PK,12,32302 NE 50th St, ,Carnation,Washington,98014-6332,John  Bomar,bomarj@rsd407.org,425.844.4960," Alternative School, Public School",A,PK-12,Public,98014,53033,King County
1875,Homelink River,Teaches Computer Science,7.0,22.0,-122.5448398,45.76705731,1322,45.767063,-122.544854,6801,Educational Service District 112,6119,Battle Ground School District,Homelink River,K,12,PO Box 200, ,Battle Ground,Washington,98604-0200,Mark  Clements,clements.mark@battlegroundps.org,360.334.8205," Alternative School, Public School",A,K-12,Public,98604,53011,Clark County
1892,Oasis K-12,Teaches Computer Science,1.0,1.0,-122.90381599999999,48.69852175,1531,48.69852756,-122.90383090000002,29801,Northwest Educational Service District 189,28137,Orcas Island School District,Oasis K-12,K,12,557 SCHOOL RD, ,Eastsound,Washington,98245-0000,Becky  Bell,bbell@orcas.k12.wa.us,360.376.2284," Alternative School, Public School",A,K-12,Public,98245,53055,San Juan County
1919,Independent Scholar,Teaches Computer Science,1.0,1.0,-117.35092879999999,47.96932418,1569,47.96933052,-117.3509426,32801,Educational Service District 101,32416,Riverside School District,Independent Scholar,K,12,34515 N. Newport Highway, ,Chattaroy,Washington,99003-9734,Lynn  Rowse,lynn.rowse@rsdmail.org,509.464.8478," Alternative School, Public School",A,K-12,Public,99003,53063,Spokane County
1927,Marysville Mountain View Arts And Technology High School,Teaches Computer Science,4.0,90.0,-122.19837340000002,48.06267815,1475,48.062684000000004,-122.1983881,29801,Northwest Educational Service District 189,31025,Marysville School District,Marysville Mountain View Arts And Technology High School,9,12,7204 27th Ave NE, ,Marysville,Washington,98271,Raymond  Houser,raymond_houser@msd25.org,360.965.3000," Public School, Regular School",P,High School,Public,98271,53061,Snohomish County
1938,Student Link,Teaches Computer Science,1.0,1.0,-122.45726540000001,47.42322821,2092,47.423234,-122.45728000000001,17801,Puget Sound Educational Service District 121,17402,Vashon Island School District,Student Link,9,12,9600 SW 204th St, ,Vashon,Washington,98070,Danny  Rock,drock@vashonsd.org,206.463.9171," Alternative School, Public School",A,High School,Public,98070,53033,King County
1971,Sage Hills High School,Teaches Computer Science,1.0,3.0,-119.537549,47.317399,2001,47.317399,-119.537549,4801,North Central Educational Service District 171,13165,Ephrata School District,Sage Hills High School,8,12,35 K ST SE,,Ephrata,Washington,98823-0000,Frank  Cardwell,fcardwell@ephrataschools.org,(509)754-7547," Alternative School, Public School",A,High School,Public,98823,53025,Grant County
1992,Skagit Academy,Teaches Computer Science,1.0,4.0,-122.34006200000002,48.40410434,1498,48.4041102,-122.34007679999999,29801,Northwest Educational Service District 189,29320,Mount Vernon School District,Skagit Academy,K,12,2001 Cleveland Ave, ,Mount Vernon,Washington,98273,Chris  Jorgensen,cjorgensen@mvsd320.org,360.428.6206," Alternative School, Public School",A,K-12,Public,98273,53057,Skagit County
2031,Omak High School,Teaches Computer Science,2.0,37.0,-119.5343047,48.40935585,1527,48.409362,-119.534319,4801,North Central Educational Service District 171,24019,Omak School District,Omak High School,9,12,P O BOX 833, ,Omak,Washington,98841-0833,Guin  Joyce,gjoyce@omaksd.org,509.826.7697," Public School, Regular School",P,High School,Public,98841,53047,Okanogan County
2084,Stadium,Teaches Computer Science,6.0,114.0,-122.4480745,47.26614422,264,47.26615,-122.448089,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Stadium,9,12,111 N E St, ,Tacoma,Washington,98403-0000,Kevin  Ikeda,kikeda@tacoma.k12.wa.us,253.571.3100," Public School, Regular School",P,High School,Public,98403,53053,Pierce County
2125,Puyallup High School,Teaches Computer Science,4.0,106.0,-122.3018895,47.1912222,62,47.191228,-122.30190400000001,17801,Puget Sound Educational Service District 121,27003,Puyallup School District,Puyallup High School,10,12,105 Seventh St SW, ,Puyallup,Washington,98371-5333,Dave  Sunich,sunichdm@puyallup.k12.wa.us,253.604.3709," Public School, Regular School",P,High School,Public,98371,53053,Pierce County
2126,Everett High School,Teaches Computer Science,8.0,298.0,-122.20923329999998,47.98527615,851,47.985282,-122.209248,29801,Northwest Educational Service District 189,31002,Everett School District,Everett High School,9,12,2416 Colby Ave., ,Everett,Washington,98201-2993,Lance  Balla,lballa@everettsd.org,425.385.4400," Public School, Regular School",P,High School,Public,98201,53061,Snohomish County
2132,Ritzville High School,Teaches Computer Science,2.0,2.0,-118.36840420000001,47.12612781,100,47.126134,-118.36841799999999,32801,Educational Service District 101,1160,Ritzville School District,Ritzville High School,9,12,209 E Wellsandt Avenue, ,Ritzville,Washington,99169-1674,Ronanda   Liberty,rliberty@lrschools.org,509.659.1720," Public School, Regular School",P,High School,Public,99169,53001,Adams County
2134,Wenatchee High School,Teaches Computer Science,2.0,2.0,-120.32674479999999,47.41014299,1227,47.410149,-120.32675900000001,4801,North Central Educational Service District 171,4246,Wenatchee School District,Wenatchee High School,9,12,1101 MILLERDALE AVE, ,Wenatchee,Washington,98801-0000,Eric J Anderson,anderson.eric@wenatcheeschools.org,509.663.8117," Public School, Regular School",P,High School,Public,98801,53007,Chelan County
